nationality,ave_score,ave_height,ave_weight,count,lat,long,First,Second,third
Paraguay,71,179,76,46,-23,-58,ST,CB,CM
Peru,71,178,74,27,-10,-76,CB,CAM,RM
Philippines,64,186,83,2,13,122,GK,LB,
Poland,64,183,76,346,52,20,GK,CB,ST
Portugal,73,180,74,325,39.5,-8,CB,CM,LB
Puerto Rico,63,178,77,1,18.25,-66.5,CB,,
Republic of Ireland,62,181,75,343,25.5,51.25,CB,CM,ST
Romania,70,181,75,43,46,25,CB,CAM,GK
Russia,72,184,77,85,46,25,GK,CDM,CB
Rwanda,64,180,77,1,-2,30,CDM,,
Saudi Arabia,61,177,70,318,25,45,CB,GK,CDM
Scotland,65,181,73,260,25,45,CM,CB,ST
Senegal,70,184,77,126,14,-14,ST,CB,CM
Serbia,71,186,79,126,44,21,CB,CDM,ST
Sierra Leone,67,184,78,6,8.5,-11.5,ST,CB,
Slovakia,69,184,78,54,48.67,19.5,GK,CB,CM
Slovenia,70,184,78,50,46,15,CB,GK,ST
South Africa,67,176,71,57,-29,24,CM,CAM,LB
South Sudan,60,190,75,1,-54.5,-37,ST,,
Spain,73,181,74,909,40,-4,CB,ST,CM
St. Kitts and Nevis,60,185,73,3,7,81,CAM,RB,ST
St. Lucia,64,183,75,1,7,81,LB,,
Sudan,63,178,68,3,15,30,CDM,RM,ST
Suriname,67,183,76,4,4,-56,RB,LW,
Sweden,65,183,77,360,62,15,CB,CM,ST
Switzerland,66,183,77,227,47,8,CB,GK,CM
Syria,68,179,75,9,47,8,CAM,CM,ST
São Tomé e Príncipe,72,176,70,1,-2,30,ST,,
Tanzania,76,183,80,2,39,71,ST,,
Thailand,62,171,65,5,15,100,CM,LB,LW
Togo,72,183,75,9,8,1.17,CB,RM,ST
Trinidad and Tobago,71,181,77,4,11,-61,CAM,CDM,CM
Tunisia,69,182,77,33,34,9,ST,CB,CAM
Turkey,68,181,75,247,39,35,GK,CB,CDM
Uganda,63,181,74,5,1,32,CDM,CM,LW
Ukraine,72,184,77,80,49,32,CB,ST,CM
United Arab Emirates,76,173,60,1,24,54,CAM,,
USA,66,182,78,337,38,-97,GK,CB,ST
Uruguay,73,180,75,123,-33,-56,ST,CB,CDM
Uzbekistan,68,182,74,2,41,64,CM,,
Venezuela,70,178,75,46,8,-66,ST,CB,RB
Wales,66,182,76,119,18.33,-64.83,CB,CM,ST
Zambia,65,179,73,9,-15,30,ST,CAM,CB
Zimbabwe,70,179,74,13,-20,30,CDM,ST,CB
